行业,省份,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
金属冶炼和压延加工业,广东省,12,,1,,,2,,9,,9,2,,1,7,1,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,114975069772.87,9581255814.40583,32652179591,2226421587,4232181102,6265011020,522084251.703333,5693937987,-1297688210,61005760.37,39848,3320.66666666667,9748,497,2237.5,151894439991.36,12657869999,55339416897,1369638965,5107115589,53.2466666666667,84.71,29.42,53.78,3145954691,285995880.992727,1301446793,15733905.06,89470289.27,29.4125,317.3,-28.5,8.515,7578342583,631528548.6,6754708751,-1424041852,72945891.95,38.6616666666667,1310.33,-351.28,-42.395,-24.59083333,552.29,-361.45,-49.33,14.6436363636364,120.15,-40.84,8.56,2.96545454545455,5.38,0.1,3.48,0.013,1.18,-1.24,0.055,0,0,0,0,0,0,0,0,0,3475,347.5,901,15,242.5,11.503,77.01,-32.6,4.88,5.56666666666667,26.4,-7.43,0.465,243493319,20291109.9191667,53180913.69,1858153.25,14283212.53,867.55,72.2958333333333,295,4.55,49,6239,567.181818181818,2015,25,287,51,12.75,40,2,4.5,768,69.8181818181818,387,2,30,517,47,274,3,21,0,0,0,0,0,843,84.3,367,14,34.5,1,1,1,1,1,459,45.9,330,2,14,1,1,1,1,1,733,66.6363636363636,267,1,22,263,29.2222222222222,202,1,7,14.288,23.84,0.66,14.205,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58266312775,4855526064.54583,17357045053,984980149.4,2729430323,7407,673.363636363636,2331,39,475,0,0,0,0,0,2193,199.363636363636,1234,4,82,51,12.75,40,2,4.5,19,2.71428571428571,6,1,3,5,2.5,4,1,2.5
交通运输、仓储和邮政业,广东省,30,,7,,,13,1,9,,11,11,,8,4,5,2,,3,1,2,,,,5,,,,,,,,3,3,,2,,,,,,,,1649507952704.21,54983598423.4737,3.12246E+11,160803639,23019299442.525,-45749683384,-1524989446,8231681371,-33716052246,149426642.9,544096,18136.5333333333,162896,188,3315,582214003288.29,19407133442.943,2.6749E+11,179488674,4037473853,49.1653333333333,82.3,16.65,50.23,5575629931,278781496.6,3528149953,944598.73,30758462.32,18.775,589.68,-66.96,-1.9,-21516894383,-717229812.8,11033965886,-32199088941,180233480.9,-394.5703333,711.3,-12302.14,-14.12,-191.118,314.52,-5514.85,-11.205,12.0115789473684,158.44,-69.76,5.89,1.1555,4.83,0.15,0.815,-0.045263158,0.58,-2.14,0.05,1822058246,260294035.115714,1266412775,2165868.02,3698823.74,-53.06,47.57,-103,-72.87,9581,598.8125,5656,8,106,7.032,103.32,-77.54,6.92,6.66466666666667,127.21,-18.37,1.63,7976595089,275055003.083793,4688008342,238028,18461031.17,6855,228.5,2202,1.48,102.5,6385,255.4,3861,1,45,18,9,17,1,9,458,24.1052631578947,286,1,5,541,30.0555555555556,363,1,4.5,0,0,0,0,0,508,28.2222222222222,139,1,12,0,0,0,0,0,141,10.0714285714286,41,1,9,0,0,0,0,0,684,40.2352941176471,231,3,12,159,11.3571428571429,117,1,2,5.455625,16.79,0.85,4.835,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019026376760.99,33967545892.033,2.56887E+11,35199231,10644229682.925,8770,398.636363636364,5289,2,50,0,0,0,0,0,2840,142,2185,1,14.5,18,9,17,1,9,11,2.75,6,1,2,2,2,2,2,2
消费电子及电气业,广东省,150,2,4,,,9,9,126,,101,33,5,11,85,6,4,5,27,4,,,,,2,1,,,,4,,1,,,,10,,1,,,,,,2771917534749.94,18479450231.6663,4.22555E+11,33232629.27,2643940427,1.22393E+11,815954964.2,29810243692,-5695574263,99569429.4,1632878,10958.9127516779,236996,28,1718,2451793250263.18,16345288335.0879,5.1185E+11,56347637.5,1550077410,39.7449333333333,279.76,-93.48,39.715,100841704059.05,725479885.316906,12618552614,4339411.66,123428481.1,-4.272533333,98.42,-85.62,-4.87,138797926513.77,925319510.1,34763290354,-5319567689,109166221.7,16.4732666666667,1253.8,-544.94,-13.265,24.3491333333333,3807.7,-558.56,-12.72,10.5888405797101,112.44,-45.95,8.41,8.64107913669065,120.6,1.3,5.86,1.67775362318841,56.52,-7.12,0.56,5851925498,344230911.648235,4287428372,2703217.38,62337788.76,13.7005882352941,253.68,-101,12.46,194392,1593.37704918033,31619,23,370,3.49126050420168,56.62,-45.86,3.76,-4.359121622,74.2,-66.2,-4.265,13558455651,92866134.5936301,1876975453,23180,14856558.06,28204.14,189.289530201342,5008,0.16,48,513208,3718.89855072464,175304,2,496,28471,284.71,12016,1,10,85461,633.044444444444,27577,1,42,58528,436.776119402985,15736,1,30.5,0,0,0,0,0,50793,387.732824427481,11197,2,57,1424,39.5555555555556,573,1,5.5,20987,167.896,6927,1,18,1423,39.5277777777778,574,1,5.5,51611,390.992424242424,15142,1,53.5,14472,121.613445378151,4285,1,9,18.767868852459,78.26,3.83,15.8,0,0,0,0,0,0,0,0,0,0,7,1.4,3,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1621157084122.47,10807713894.1498,2.70631E+11,-331226347.5,1057052313,996685,7275.07299270073,263793,6,630,0,0,0,0,0,228392,1691.79259259259,67715,1,133,28514,288.020202020202,12061,1,10,130,5.90909090909091,50,1,2,2,2,2,2,2
房地产业,广东省,62,,8,,,16,6,32,,17,38,,7,4,7,5,1,26,4,2,,,,6,,,,,,,,3,1,1,2,,,,,,,,11586407918636.2,186877547074.778,1757163116848.0,354182519.1,18276426880.625,70559018502,1138048685.51968,37550973261,-15779218562,98965201.39,1432892,23111.1612903226,227708,41,5642,2715588547789.96,43799815286.9348,503838390573.74,54078443.5,3613605937,60.7048387096774,99.36,24.25,67.77,5578957806,265664657.4,2164009322,1460354.94,48259594.08,47.6935483870968,3147.7,-78.13,-1.6,193442178450.17,3120035136.29306,80080947264,-10697248126,180387881.6,-86.07032258,211.51,-1576.43,-20.025,-264.9316129,402.39,-8591.15,-30.24,52.445,543.8,-79.72,16.88,1.7447619047619,26.8,0,0.29,0.74375,9.05,-0.49,0.025,331873139,165936569.5,316382312,15490827.04,165936569.5,46.29,46.29,46.29,46.29,2121,212.1,1115,7,81.5,7.37333333333333,23.37,-18.15,10.88,-8.320666667,89.48,-82.56,-5.475,3130352744,63884749.8708163,549185094.5,1462.81,10633933.36,10420.22,168.068064516129,1574,0.51,46.5,8977,289.58064516129,3906,1,49,129,32.25,126,1,1,1413,58.875,1055,1,8.5,1102,55.1,626,1,14,0,0,0,0,0,920,51.1111111111111,157,1,20.5,33,33,33,33,33,341,20.0588235294118,85,1,7,33,33,33,33,33,1434,68.2857142857143,538,1,20,515,30.2941176470588,400,1,4,4.414,28.76,0.39,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8803157761180.59,141986415502.913,1434894926335.0,204501829,9770399368,11287,403.107142857143,4633,4,70,0,0,0,0,0,4262,163.923076923077,2816,1,27,126,31.5,123,1,1,4,1.33333333333333,2,1,1,1,1,1,1,1
采矿业,广东省,6,,,,,1,1,4,,2,4,,,1,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,34659677999,5776613000,15332819941,491201822,3833696296,3920814306,653469050.966667,2487676867,-28267891,295535478,14599,2433.16666666667,8412,31,1374,27539749730,4589958288,10168819522,1534520698,3393212417,59.2016666666667,119.52,14.8,57.22,523293576.6,261646788.3,459025296.7,64268279.89,261646788.3,39.8316666666667,224.06,-24.9,6.765,4862790683,810465113.776667,2694740879,-6529628,552992335.8,372.388333333333,2397.28,-100.33,-3.085,452.728333333333,2714,-124.5,3.89,47.145,82.51,11.78,47.145,3.335,4.54,2.13,3.335,-0.975,-0.32,-1.63,-0.975,164517118.8,164517118.8,164517118.8,164517118.8,164517118.8,7.91,7.91,7.91,7.91,1282,641,1119,163,641,19.43,21.2,17.66,19.43,15.1133333333333,57.6,-22.5,11.085,59471813.61,9911968.935,17613598.03,630072,10193941.29,416.37,83.274,222,3.99,7.19,1292,323,998,2,146,4,4,4,4,4,171,57,140,1,30,156,52,145,1,10,0,0,0,0,0,170,56.6666666666667,129,3,38,0,0,0,0,0,47,15.6666666666667,35,1,11,0,0,0,0,0,148,49.3333333333333,110,7,31,17,8.5,16,1,8.5,14.935,16.58,13.29,14.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22148591513,3691431919,8204231419,72818125,3092582141,2638,659.5,1792,5,420.5,0,0,0,0,0,432,108,343,1,44,4,4,4,4,4,2,2,2,2,2,0,0,0,0,0
非金属矿物制品业,广东省,15,,1,,,,,14,,10,2,1,2,10,,,,1,,1,,,,,,,,,1,,,,,,2,,,,,,,,2.26913E+11,15127524738.2533,69186791858,650783868.3,10078635566,6598993504,439932900.245333,2514902762,-346785181.3,152077297.6,100457,6697.13333333333,19633,529,4049,117395066429.31,7826337762,30767270473,237129071.3,6228589552,49.3266666666667,97.19,6.16,52.96,3192827827,245602140.563846,1219205243,7910236.44,54990004.81,-12.864,62.77,-75.44,-10.88,8120907248,541393816.519333,3190428591,-446989097.5,173681839.7,-160.3393333,172.82,-1936.18,-42.17,-100.6353333,104.38,-986.81,-33.71,-2.296153846,43.45,-60.29,-1.73,3.57538461538461,5.44,0.3,3.91,0.0323076923076923,1.06,-2.09,0.1,47823581,47823581,47823581,47823581,47823581,21.2,21.2,21.2,21.2,6402,492.461538461538,1956,84,170,99.9507692307692,1029.9,-27.62,-3.6,-9.158666667,19.73,-46.68,-5.54,636153263.9,42410217.59,188750197,1165425.88,21694592.47,1228.78,81.9186666666667,200,9.22,64,18423,1228.2,4364,15,347,76,15.2,29,1,17,1915,127.666666666667,558,1,38,1190,85,360,3,43,0,0,0,0,0,2471,190.076923076923,898,1,69,6,3,5,1,3,909,75.75,291,2,39.5,6,3,5,1,3,2379,183,897,3,39,394,35.8181818181818,126,1,10,10.3246153846154,33.8,1.72,10.2,0,0,0,0,0,0,0,0,0,0,3,1.5,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109146014871.23,7276400991.41533,36362870193,68717710.23,3905342439,22219,1481.26666666667,6250,4,564,0,0,0,0,0,5122,341.466666666667,1802,1,106,76,15.2,29,1,17,32,3.2,7,1,2.5,0,0,0,0,0
通用设备制造业,广东省,20,,,,,3,,17,,16,2,,2,14,2,,,2,,,,,,,,,,,,,,1,,,1,,,,,,,,153602942360.75,7680147118.0375,68940835909,356599612,2525548942,6816293526,340814676.3,3439323455,-543667557.5,80791831.56,70784,3539.2,28251,242,1341,73246881032,3662344052,30747781282,86256894.57,1228482504,36.9745,65.55,5.81,32.11,3143451914,157172595.7,1098026111,5948738.21,51272594.87,-6.0985,51.34,-63.38,-5.745,7812225852,390611292.6,3864928178,-574669901.9,94460542.46,-113.0735,155.25,-1806.81,-22.73,-145.0335,149.35,-2195.7,-20.72,-5.0725,47.65,-64,-2.74,5.146,10.9,0.43,3.805,0.1555,1.9,-2.1,0.165,300265321.2,60053064.24,254231643.1,286555.57,8808344.53,-1.1675,51.89,-98.9,21.17,9284,515.777777777778,2487,31,242,5.34058823529412,37.29,-43,7.1,-7.951052632,26.26,-56.48,-3.53,529317608.6,27858821.5036842,135538316.8,1365843.48,10218045.88,1691.68,84.584,385,0.77,46,15002,789.578947368421,2169,63,549,495,41.25,356,1,6,1859,97.8421052631579,509,1,44,1059,55.7368421052632,241,3,25,0,0,0,0,0,1578,87.6666666666667,327,3,53.5,5,5,5,5,5,585,36.5625,142,2,21,5,5,5,5,5,1306,68.7368421052632,244,4,56,221,12.2777777777778,45,1,4.5,17.8777777777778,45.64,8.7,15.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73761137875,3688056894,40577931360,101011831.1,793049345.3,29518,1553.57894736842,7720,62,728,0,0,0,0,0,4922,259.052631578947,914,12,136,494,41.1666666666667,355,1,6,32,5.33333333333333,20,1,2,0,0,0,0,0
半导体业,广东省,54,2,2,1,,7,8,34,,25,7,1,21,18,4,2,,3,3,,1,,,,1,,,,1,,,3,,5,12,,1,,,,,,438598660555.49,8122197417.69426,83501869482,267492241.2,3464126266,21328700082,394975927.446667,5011534520,-747632184.3,90873461.66,255939,4739.61111111111,35386,124,1587,276408174237.14,5118669893.28037,42376879241,173369281,2190104223,36.285,71.36,4.48,36.42,14027003197,269750061.475769,1933333294,2664581.23,129130850.9,-1.990185185,45.45,-42.53,-0.925,25562691329,473383172.767778,5816420363,-983354965.8,97389644.8,-62.945,243.2,-1403.1,-26.835,-61.38888889,285.9,-1444.23,-21,12.5732692307692,125.87,-33.18,8.865,9.39615384615385,57.12,0.1,5.43,1.65235294117647,22.49,-5.35,0.4,733005626.5,122167604.4,485809564.1,177864,39516793.6,15.73,124.42,-106,-1.29,34371,731.297872340426,5419,44,411,7.66866666666667,74.06,-33.44,6.48,0.962115384615384,39.22,-33.9,1.165,1644953797,30462107.3425926,189467882,344087,15720452.32,6430.6,119.085185185185,560,1.12,67,36857,752.183673469388,4067,56,425,3134,97.9375,1600,1,15.5,9146,186.65306122449,931,4,54,5201,106.142857142857,674,1,49,0,0,0,0,0,3593,73.3265306122449,630,1,51,186,15.5,69,1,12,2033,44.195652173913,226,1,23.5,186,15.5,69,1,12,3473,70.8775510204082,632,1,35,1389,30.195652173913,246,1,12,25.1825531914894,86.19,3.38,15.85,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177443712536.26,3285994676.59741,27976684573,40480911,1246690772,102729,2096.51020408163,13878,46,648,0,0,0,0,0,21323,435.163265306122,2063,15,207,3132,97.875,1601,1,15.5,19,2.375,5,1,1.5,0,0,0,0,0
建筑业,广东省,22,,,,,9,2,11,,19,3,,,9,9,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,292978004816.85,13317182037.1295,107892125994.81,68968384.72,5353380082,-7224716114,-328396187,1970661816,-5559706237,-71152908.34,47849,2174.95454545455,14938,12,1333,1.62088E+11,7367652719.68636,82574650294,36493959.21,2071164409,75.6536363636364,149.4,10.14,75.575,4341865737,255403866.872353,2828611668,2416231.5,67002972.8,10.2813636363636,470.9,-77.83,-17.035,-6099896809,-277268036.8,2806109616,-5617801644,-88950227.1,-78.59227273,378.3,-1129.92,11.325,-134.8204545,383.86,-1846.31,-12.22,1.51764705882353,472.04,-94.01,-25.42,3.37764705882353,12.11,0.1,3.1,0.156470588235294,4.03,-2.66,-0.05,8299823.12,2766607.70666667,5771429.65,169805.38,2358588.09,-81.42,-43.78,-102,-98.48,4076,239.764705882353,772,30,235,-23.13588235,17.3,-52.34,-20.71,15.9372727272727,565.94,-41.45,-11.545,93870184.21,4470008.77190476,24581779.47,-15202005.48,3005290.61,834.97,37.9531818181818,240,0.9,23.5,9366,492.947368421053,3479,60,293,27,3.85714285714286,6,1,4,894,47.0526315789474,419,4,21,716,39.7777777777778,238,3,19.5,0,0,0,0,0,1320,77.6470588235294,724,1,31,0,0,0,0,0,407,27.1333333333333,228,1,9,0,0,0,0,0,1342,70.6315789473684,665,1,29,208,13,92,1,4,14.5205882352941,55.82,2.94,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247639719094.03,11256350867.9105,96790413467,6982061,4330586709,12889,678.368421052632,4948,25,496,0,0,0,0,0,2736,144,1143,7,78,27,3.85714285714286,6,1,4,3,1.5,2,1,1.5,2,2,2,2,2
铁路、船舶、航空航天和其他运输设备制造业,广东省,9,,2,,,,,7,,6,2,,1,6,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,1.08056E+11,12006241926.2667,46479794888,530868828,1916183761,277936807.5,30881867.4977778,710054690.9,-1212457342,29406367.03,21389,2376.55555555556,7506,345,718,30772573856,3419174873,12795190596,44317137,680513438.1,50.4555555555555,76.52,18.19,50.15,1629521975,181057997.204444,576256971.8,42864246.48,56584502.17,-17.69333333,20.4,-87.55,-1.44,290734884.9,32303876.0955556,694843775.7,-1218837270,29745435.43,69.6555555555556,563.1,-317.6,-23.12,76.17,585.52,-343.69,-19.25,0.0711111111111108,19.65,-27.49,-1.54,41.2766666666667,308.8,3.1,7.2,30.2166666666667,263.31,-0.76,1.04,39578009.72,13192669.9066667,26227485.17,4082236.01,9268288.54,61.0733333333333,166.73,4.59,11.9,3929,436.555555555556,1189,122,198,-2.082222222,10.62,-7.73,-6.61,-1.305555556,6.16,-16.82,0.59,289976388,36247048.5,129177750.1,1237574.89,10560949.61,715,79.4444444444444,303,21,35,9165,1018.33333333333,3444,35,589,112,16,80,2,3,1521,190.125,689,3,35,1575,175,737,1,11,0,0,0,0,0,1336,148.444444444444,503,6,22,6,3,3,3,3,905,129.285714285714,376,3,9,6,3,3,3,3,677,75.2222222222222,250,4,27,329,47,151,1,11,25.9444444444444,55.77,15.71,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62773553779,6974839308.74556,27729097374,261630812.1,843842122.7,14147,1571.88888888889,5059,10,525,0,0,0,0,0,5140,571.111111111111,2249,5,94,112,16,80,2,3,2,1,1,1,1,0,0,0,0,0
水利、环境和公共设施管理业,广东省,13,,2,,,3,,8,,7,3,,3,6,,1,,1,,1,,,,1,,,,,,,,2,,,1,,,,,,,,194502203663.44,14961707974.1108,33288156618,1584991310,10253014904,1858632016,142971693.565385,1171347443,-1540690564,108708889,104972,8074.76923076923,61751,360,1704,44552884566,3427144966.60923,12875018658,283742288.5,2789655878,64.8823076923077,79.07,37.76,65.56,504425647.3,42035470.6041667,140863373,8703495.64,23215430.7,5.04461538461538,82.45,-46.42,3.4,2547659921,195973840.101538,1398714230,-1744888821,152210867,-479.0923077,178.54,-3993.81,-10.51,-259.0130769,143.7,-3103.27,-5.9,91.9633333333333,1027.75,-56.99,8.45,1.93416666666667,3.86,0.1,1.015,-0.290909091,0.8,-2.77,0,52537586.08,26268793.04,49159884,3377702.08,26268793.04,51.69,51.69,51.69,51.69,1191,119.1,286,5,90.5,16.2133333333333,79.53,-45.55,12.23,-0.615384615,29.56,-30.15,-0.77,338312719.1,26024055.3161538,153990448.7,2576250.44,9946631.3,597.2,45.9384615384615,152,9.2,33,3332,256.307692307692,678,31,207,3,1,1,1,1,301,23.1538461538462,109,2,11,315,26.25,108,1,20,0,0,0,0,0,251,20.9166666666667,84,1,10.5,0,0,0,0,0,68,6.8,24,1,4.5,0,0,0,0,0,353,27.1538461538462,108,1,9,38,5.42857142857143,10,1,6,7.909,23.82,0.24,4.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133133255473.75,10241019651.8269,24847966205,597737382.8,7313962743,6004,461.846153846154,2026,60,279,0,0,0,0,0,947,72.8461538461538,253,8,42,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0
