企业名称,bmCode,year,总资产,净利润金额,雇员总数,营业收入金额,资产负债率,研发投入金额,营业收入同比增减幅,营业利润金额,营业利润同比增减幅,净利润同比增减幅,研发投入同比增减幅,研发投入占比,研发投入占比增减幅,资本化研发投入,资本化研发投入同比增减幅,研发人员数量,研发人员同比增减幅,雇员同比增减幅,政府奖励资金、补贴,公司市值,累计中国专利申请数,累计PCT专利申请数,累计中国发明专利授权数,累计中国发明专利失效数,累计PCT发明专利失效数,年度中国专利申请数,年度PCT专利申请数,年度中国发明专利申请数,年度PCT发明专利申请数,年度中国专利授权数,年度中国发明专利授权数,研发人员占比,国家科技进步奖,国家技术发明奖,省/部级科技进步奖,省/部级技术发明奖,国际行业奖项,国家自然科学奖,省/部级自然科学奖,省/部级科学技术奖,省级企业科技创新奖,总负债,累计所有专利被引用数,累计核心专利被引次数,累计中国发明专利申请数,累计PCT发明专利申请数,参与起草国家标准,参与起草行业标准
步步泽达批发公司,828225,2022,27905646371.0,-2519798591.79,14271.0,8685757257.08,81.48,15114227.93,-34.42,-1703790132.45,-960.79,-1416.11,-50.17,0.1,-0.04,12143283.66,-47.46,70.0,-35.79,-35.25,29628259.31,39.0,24.0,,,12.0,,,,,,5.0,,0.43,,,,,,,,,,22719812694.69,35.0,,12.0,,,
众天锦锦信息技术公司,828330,2022,4880210248.61,-1282774557.17,2480.0,3360755306.49,86.59,368334839.07,-28.79,-1368549649.75,-652.75,-615.02,4.9,10.99,3.59,39505347.54,-57.14,687.0,7.23,-10.27,36685345.0,33.0,1310.0,53.0,172.0,145.0,,44.0,,17.0,,82.0,15.0,27.38,,,,,,,,,,4224942892.4,3314.0,,408.0,53.0,,1.0
宝新慧科科技公司,828819,2022,3113905634.4,143469295.6,1093.0,2295131193.6,33.42,454866356.0,48.97,67644419.0,347.57,1908.11,13.94,19.89,-6.06,,,783.0,20.98,19.5,,9.28,771.0,61.0,261.0,233.0,,24.0,,20.0,,125.0,111.0,71.63,,,,,,,,,,1041069654.6,4815.0,,730.0,61.0,,
花润华地置业公司,828828,2022,276176027871.57,3903583942.6,1724.0,41502334515.13,80.95,,9.26,5320438440.78,-21.17,-20.64,,,,,,,,5.04,6096995.54,279.0,9.0,,,,,2.0,,1.0,,,,,,,,,,,,,,223459384454.87,15.0,,1.0,,,
长成盛骏汽车公司,828847,2022,50778179371.0,4752236142.0,28967.0,28098786936.0,42.81,1248596569.0,19.0,5582967785.0,48.4,51.2,25.26,4.46,0.21,,,4255.0,10.69,9.21,130536831.0,784.0,2533.0,60.0,545.0,219.0,,316.0,40.0,167.0,40.0,256.0,102.0,14.68,,,,,,,,,,21779295874.0,4995.0,,1091.0,60.0,,
金制锦泰基金管理公司,829108,2022,368066911297.0,3010339156.0,8392.0,23107391657.0,78.95,492507816.0,-19.1,3378027895.0,-46.41,-43.99,3.27,2.1,0.41,116718462.0,-1.5,286.0,9.5,7.1,223023534.0,332.0,348.0,,5.0,6.0,,1.0,,1.0,,2.0,2.0,3.48,,,,,,,,,,290668623989.0,120.0,,14.0,,,
云矿泽泽资源公司,829262,2022,15440168653.41,967262753.23,4079.0,5053106825.98,22.7,,-23.07,1302061848.57,-53.57,-52.13,,,,,,,,1.7,81571.2,88.0,46.0,,,3.0,,,,,,,,,,,,,,,,,,3514063894.06,183.0,,3.0,,,
康盛泰瑞医疗器械公司,829879,2022,3386569155.2,174112202.66,1716.0,1228013824.48,17.33,90455180.44,11.75,183207060.13,-35.65,-28.66,5.73,7.31,-0.4,,,278.0,-2.14,-5.09,21631420.81,82.0,639.0,17.0,304.0,141.0,,4.0,,2.0,,41.0,39.0,15.78,,,,,,,,,,588066355.81,2460.0,,496.0,17.0,,
燕秦香饮饮料公司,830347,2022,3006138225.0,133162148.1,1322.0,2712749502.32,33.31,101572800.5,-1.88,160224825.73,-32.07,-33.99,0.91,3.75,0.1,,,140.0,-3.9,0.13,9013015.42,35.0,225.0,,56.0,123.0,,16.0,,12.0,,7.0,3.0,11.16,,,,,,,,,,1001799327.78,1212.0,,201.0,,,
明机锦精重工公司,830355,2022,3003457829.0,122069664.0,1105.0,1587416223.0,73.28,27574118.0,-13.08,144632375.0,11.38,10.68,-9.61,1.73,0.06,,,,,6.15,6759941.0,5.43,258.0,16.0,54.0,32.0,,49.0,,28.0,,32.0,7.0,,,,,,,,,,,2198702482.0,454.0,,120.0,16.0,1.0,
麦克泽智智能科技公司,830395,2022,602266793.55,39326366.34,506.0,287367012.47,17.94,44844592.21,16.39,42278737.95,-23.36,-23.19,34.73,15.69,2.17,,,119.0,13.22,5.27,12249725.4,11.0,211.0,,27.0,16.0,,13.0,,5.0,,14.0,5.0,21.93,,,,,,,,,,108084702.89,248.0,,82.0,,1.0,
花能源泽电力公司,830587,2022,243217425285.5,6484858602.0,22381.0,88661586886.24,64.51,,18.17,11630264212.74,135.4,444.9,,,,,,,,5.1,615026309.5,783.0,1570.0,,142.0,137.0,,239.0,,97.0,,181.0,31.0,,,,3.0,,,,,,,156917342323.5,1856.0,,680.0,,1.0,
日法昌泽机床公司,830718,2022,1548141216.1,124864551.38,696.0,776843263.79,9.91,25937447.63,4.0,140281754.48,15.1,17.65,-0.25,3.35,-0.17,,,77.0,,-3.3,14087952.26,28.0,192.0,1.0,15.0,1.0,,9.0,1.0,1.0,1.0,23.0,2.0,11.17,,,,,,,,,,154360729.2,142.0,,22.0,1.0,1.0,
好来泽昌教育咨询公司,830730,2022,5870430667.0,552267245.0,5766.0,1309192945.0,55.41,,25.65,691249322.0,-2.0,-9.02,,,,,,,,16.91,92039.0,60.0,,,,,,,,,,,,,,,,,,,,,,3254746119.0,,,,,,
桐昆盛润新材料公司,830865,2022,2356218582.0,-28623759.2,1007.0,1070216238.2,27.09,,16.42,-18475833.2,-102.15,-111.61,,,,,,,,,6922396.0,3.72,,,,,,,,,,,,,,,,,,,,,,637356543.4,,,,,,
恒丽联联信息技术公司,830874,2022,1141953344.42,54156663.65,361.0,212924464.66,4.85,36247024.46,-3.12,61167877.18,-16.96,-18.8,15.63,17.03,2.74,,,127.0,15.6,16.89,8289944.09,55.0,33.0,,10.0,5.0,,24.0,,24.0,,8.0,8.0,35.0,,,,,,,,,,55592800.26,58.0,,31.0,,,
北景建盛泰土木工程公司,830880,2022,2939191617.0,-422344417.0,100.0,109277236.0,79.8,7880268.0,-59.11,-482775529.0,-4224.64,-10066.22,-46.48,7.24,1.77,,,,,-43.37,1154591.0,4.9,,,,,,,,,,,,,,,,,,,,,,2345848624.0,,,,,,
绿山置盛城市发展公司,830987,2022,153043889637.51,647474340.72,2647.0,20505769472.0,72.26,,-15.1,959047019.59,-64.19,-59.07,,,,,,,,-20.0,13336021.99,139.0,10.0,,3.0,2.0,,,,,,,,,,,,,,,,,,110623092260.68,48.0,,4.0,,,
易煤富源矿产公司,831250,2022,5151634804.74,64617384.96,1175.0,3216878448.9,35.36,164767831.68,-21.13,47632957.9,-71.05,-61.15,-13.41,5.11,0.49,,,433.0,-20.64,-7.67,8859343.66,33.0,326.0,,47.0,32.0,,57.0,,21.0,,61.0,15.0,36.98,,,,,,,,,,1823006810.39,245.0,,122.0,,,
众邮政通畅物流公司,831262,2022,10412580996.0,780052157.0,695.0,2931291211.0,44.94,,46.95,1041523494.0,-8.79,-8.6,,,,,,,,1.04,1193482.0,43.0,12.0,,,,,8.0,,,,,,,,,,,,,,,,4684574932.0,6.0,,2.0,,,
润会云信科技公司,831280,2022,4818020624.0,124800633.0,7719.0,6966598475.0,61.01,735799813.0,116.37,148643586.0,193.66,131.63,92.73,10.5,-1.12,,,,,21.5,58594931.0,30.0,942.0,1.0,203.0,406.0,,178.0,,163.0,,46.0,39.0,,,,,,,,,,,2940064631.0,3956.0,,927.0,1.0,,
卫星锦盛石化公司,831530,2022,35072650722.5,931155641.86,3882.0,11178182782.41,43.13,399922787.6,-10.14,1000697381.57,13.04,9.82,-5.82,3.57,0.13,,,535.0,-4.68,-1.12,37836808.92,111.0,675.0,,39.0,71.0,,50.0,,6.0,,72.0,8.0,13.88,,,,,,,,,,15132020466.48,573.0,,137.0,,,
保禾锦华房地产开发公司,831628,2022,22061709023.9,98621900.0,769.0,1262963862.58,61.46,,13.38,154360801.31,-25.24,-23.97,,,,,,,,33.3,34037650.97,72.0,19.0,,,,,,,,,,,,,,,,,,,,,13552902988.5,158.0,,,,,
海潮悦绣纺织公司,831691,2022,262373675.0,564713.5,636.0,185013930.5,32.42,7430069.5,-7.07,3772581.71,125.87,107.08,-7.29,4.05,-0.03,,,,,-5.74,845383.21,6.1,,,,,,,,,,,,,,,,,,,,,,85221109.28,,,,,,
禾钢盛泰金属制品公司,831822,2022,5384534746.35,449311229.7,4671.0,3444879647.76,36.96,191601203.03,6.59,507983223.48,-10.61,-8.3,10.07,5.51,0.13,,,623.0,11.18,-9.73,20834964.77,84.0,675.0,1.0,72.0,137.0,,71.0,,30.0,,59.0,17.0,13.49,,,,,,,,,,1988380391.34,894.0,,281.0,1.0,,
金泰昌盛资产管理公司,832113,2022,602273712.0,15426375.0,285.0,324599499.0,48.31,4080385.0,178.77,22937754.0,276.9,136.45,67.89,1.22,-0.74,,,,,16.6,756024.0,5.9,,,,,,,,,,,,,,,,,,,,,,291467914.0,,,,,,
丰火畅泽网络设备公司,832437,2022,3473135758.45,79839232.45,1735.0,2155791673.53,43.85,305866783.1,16.3,64251403.87,100.79,104.8,12.84,14.17,-0.45,,,691.0,15.27,8.9,2365817.43,41.0,556.0,,359.0,45.0,,27.0,,24.0,,25.0,21.0,40.1,,,,,,,,,,1521552237.96,2998.0,,455.0,,,5.0
岭南冶达冶炼公司,832739,2022,5208238422.73,-297538070.05,2412.0,12696349547.88,51.43,117624101.04,-2.24,-285705348.73,-189.63,-201.82,5.7,0.97,0.0,,,574.0,2.8,-1.28,6720910.4,23.0,70.0,,2.0,14.0,,8.0,,1.0,,4.0,,23.65,,,,,,,,,,2681766000.02,64.0,,18.0,,,
花新昌泽混凝土公司,832960,2022,4983739373.65,86283527.3,770.0,3168358656.98,34.78,102020102.67,55.98,89786495.12,47.25,52.15,45.22,3.2,-0.25,,,88.0,-1.13,14.87,9237028.7,56.0,327.0,3.0,31.0,36.0,,42.0,,17.0,,29.0,4.0,11.36,,,,,,,,,,1733832194.1,658.0,,164.0,3.0,1.0,
锡份达泰冶炼公司,833140,2022,15423341724.38,6499356177.63,2247.0,15578708325.53,18.47,514934572.83,115.35,7670807829.58,654.6,620.1,132.83,3.35,0.25,,,332.0,5.09,37.3,113987346.04,334.0,235.0,,36.0,12.0,,31.0,,18.0,,23.0,5.0,14.79,,,,,,,,,,2850843827.04,408.0,,98.0,,,2.0
首环环盛环保公司,833206,2022,1322091586.45,52434962.11,369.0,453340990.96,36.31,17434416.93,12.76,56795862.81,-31.77,-32.87,19.14,3.81,0.28,,,78.0,30.0,7.75,2391836.07,21.0,103.0,,28.0,36.0,,20.0,,12.0,,5.0,1.0,21.63,,,,,,,,,,480633187.97,415.0,,84.0,,,
三夏燃源热力公司,833247,2022,7199373109.97,521393719.08,2681.0,4835443564.39,38.63,43219334.4,10.3,594903592.53,6.65,3.67,101.32,0.86,0.4,,,289.0,54.94,5.16,7489306.53,90.0,43.0,,1.0,,,16.0,,1.0,,14.0,1.0,10.57,,,,,,,,,,2782490714.7,10.0,,3.0,,1.0,
阳机精泽重工公司,833625,2022,12517593578.2,936057168.4,6991.0,13369591730.0,49.2,441775650.4,17.9,1271203135.0,4.63,-3.04,36.58,3.3,0.49,,,,,3.82,12500735.0,140.0,,,,,,,,,,,,,,,,,,,,,,6158975647.0,,,,,,
桐昆锦恒精细化工公司,833647,2022,1648900606.13,191162607.42,415.0,1041135003.78,18.48,32940425.22,24.95,221168782.19,106.09,107.96,25.53,3.18,0.07,,,48.0,9.01,-0.25,5727939.59,35.0,49.0,,25.0,7.0,,3.0,,1.0,,5.0,3.0,11.69,,,,,,,,,,303587306.8,219.0,,38.0,,,
沃特盛胶塑料公司,833652,2022,2484502594.45,212842590.36,1428.0,1894494641.82,41.24,47435107.52,5.33,225381710.36,124.36,117.44,-1.46,2.5,-0.17,,,137.0,-9.29,-7.82,1792060.35,33.0,39.0,,5.0,7.0,,,,,,4.0,,9.61,,,,,,,,,,1025359883.98,85.0,,19.0,,,
步步贸盛贸易公司,833901,2022,14441498140.63,805039590.75,3090.0,91429023670.3,56.4,19997775.87,-3.96,964507137.85,-21.15,-22.17,39.5,0.03,,,,90.0,196.34,4.91,90686483.65,91.0,6.0,,,,,,,,,,,2.96,,,,,,,,,,8145250492.76,,,,,,
万青石泰新材料公司,834178,2022,487987231.15,35635814.63,170.0,185935728.74,10.33,7533561.37,-10.53,39862818.62,-36.4,-34.33,5.27,4.0,0.62,,,23.0,35.26,4.85,5148152.5,8.17,47.0,,4.0,1.0,,3.0,,3.0,,7.0,1.0,13.27,,,1.0,,,,,,,50527921.02,38.0,,10.0,,,
岸钢锦达铜业公司,834279,2022,2265193594.59,38760771.96,2186.0,1229799383.3,43.89,28737472.02,1.54,52784580.81,-42.82,-45.7,3.4,2.35,0.09,,,185.0,17.5,-5.14,7858001.66,24.0,101.0,1.0,12.0,9.0,,3.0,,,,4.0,,8.58,,,,,,,,,,992304068.27,540.0,,24.0,1.0,,
上境水水污水处理公司,834437,2022,960564225.7,-36321460.07,175.0,203154960.99,39.55,18242530.9,-51.64,-46758323.63,-252.31,-192.17,15.3,8.93,5.25,,,60.0,-1.67,22.74,5654999.13,13.0,80.0,,18.0,2.0,,13.0,,13.0,,10.0,7.0,33.77,,,,,,,,,,379618736.78,81.0,,37.0,,,
华鲁化昌石化公司,834539,2022,3268936506.2,-373505619.45,435.0,267536381.05,43.4,2913818.8,-75.51,-331757352.74,-217.5,-285.99,-92.9,1.06,-2.62,802561.41,-93.45,8.0,-73.37,-23.87,11654600.07,39.0,269.0,52.0,31.0,178.0,,,,,,,,1.85,,,,,,,,,,1420062603.78,652.0,,190.0,52.0,,
润会数科科技公司,834666,2022,1949249945.68,159504901.8,209.0,514944345.1,14.4,16940057.76,7.33,107573482.34,-69.01,-44.65,-9.95,3.2,-0.6,,,9.0,-88.0,-24.89,19886339.9,44.0,26.0,,3.0,10.0,,,,,,,,4.5,,,,,,,,,,280652611.62,103.0,,11.0,,,
联花汇锦连锁公司,834776,2022,3854380651.18,105474408.64,1993.0,4095573120.69,51.0,,5.68,136897087.54,122.43,111.15,,,,,,,,4.3,15399055.89,23.0,8.0,,2.0,,,3.0,,1.0,,2.0,2.0,,,,,,,,,,,1967925498.8,2.0,,3.0,,,
润会科数系统公司,834810,2022,2336536974.5,-92528986.73,1695.0,780258265.29,30.7,196186908.98,-4.61,-83582498.65,-424.24,-675.53,1.17,25.1,1.42,,,1175.0,4.56,4.73,3608839.79,143.0,35.0,,4.0,5.0,,2.0,,2.0,,2.0,,69.7,,,,,,,,,,717341945.1,71.0,,21.0,,,
东丰远腾智能汽车公司,834942,2022,3193527794.82,181223953.85,2158.0,1262565646.18,16.63,62335661.11,-11.08,207134526.84,52.89,76.71,30.85,4.93,1.57,16242750.49,-24.72,353.0,-7.25,4.07,70290467.69,47.0,178.0,,10.0,14.0,,21.0,,5.0,,32.0,2.0,16.58,,,,,,,,,,531770097.51,168.0,,46.0,,,
德西泰盛科技公司,835305,2022,977391322.19,53457936.1,463.0,905614802.37,11.22,31402427.8,0.69,56290846.04,-41.63,-36.67,1.97,3.46,0.03,,,65.0,-7.12,-13.21,2039744.23,8.84,228.0,,18.0,21.0,,30.0,,8.0,,22.0,,13.96,,,,,,,,,,110019981.37,242.0,,54.0,,,
华鲁恒润石化公司,835486,2022,1862153318.12,-377974160.63,1252.0,933811268.74,31.07,47316814.0,-14.16,-225185673.7,-58.58,-192.3,0.12,5.0,0.76,,,54.0,-6.9,1.04,6410174.79,25.0,133.0,2.0,25.0,20.0,,5.0,,3.0,,8.0,3.0,4.35,,,,,,,,,,578749289.56,583.0,,56.0,2.0,1.0,
麦克智测医疗科技公司,835710,2022,8045697030.8,663861226.37,2309.0,3309720276.74,25.71,238592259.61,22.91,750112388.26,89.81,119.69,5.56,7.29,-1.1,,,742.0,-9.7,-3.1,23089003.77,129.0,797.0,3.0,164.0,95.0,,62.0,,26.0,,78.0,38.0,32.38,,,,,,,,,,2070658922.67,1588.0,,430.0,3.0,4.0,
人明昌昌电器设备公司,836020,2022,4925213675.9,-132872657.3,3759.0,2161025960.49,67.82,94244672.7,4.6,-151114211.4,6.37,9.39,22.88,4.39,0.69,,,528.0,22.51,3.27,22174264.32,26.0,965.0,,66.0,46.0,,66.0,,20.0,,50.0,1.0,14.0,,,2.0,,,,,,,3341688059.1,1188.0,,200.0,,2.0,
众交达泽集团公司,836055,2022,1385091235.0,1253836.0,507.0,634151846.0,68.03,,-17.16,11000879.0,-67.1,-93.82,,,,,,,,-17.18,10773247.0,64.0,,,,,,,,,,,,,,,,,,,,,,942025777.0,,,,,,
平告盛昌电力器材公司,836095,2022,1594560754.45,57642717.74,587.0,1864755608.7,48.16,62813591.75,-11.86,57090402.73,-10.37,-4.82,-7.36,3.32,0.1,,,45.0,,2.26,5416584.14,7.63,145.0,,22.0,11.0,,17.0,,12.0,,13.0,6.0,7.71,,,,,,,,,,767746792.69,382.0,,56.0,,9.0,
山坎锦盛矿业公司,836405,2022,95737789679.54,13233699750.46,38379.0,65183408560.19,54.93,1222872083.27,43.99,18008204526.19,145.92,187.43,102.89,1.87,0.52,1736436.64,,4375.0,109.93,21.39,178219815.72,518.0,295.0,,34.0,26.0,,81.0,,16.0,,78.0,8.0,11.31,,,3.0,,,,,,,52650740523.08,284.0,,94.0,,,2.0
途企租昌租赁公司,836406,2022,32111062974.32,1103607974.27,3228.0,7619697198.6,52.4,49298243.0,26.26,1146516846.68,-30.64,-16.92,26.7,0.6,0.04,31921727.0,11.68,180.0,30.92,-23.5,38802889.8,460.0,6.0,,1.0,3.0,,2.0,,2.0,,1.0,1.0,5.61,,,,,,,,,,16829916617.72,24.0,,6.0,,,
果融瑞富资产管理公司,836528,2022,152884461128.49,3181408519.6,2845.0,11036506546.84,61.87,95708392.02,-15.34,4185870612.8,-23.83,-23.73,24.8,0.86,0.22,51674873.75,7.49,22.0,10.0,-3.04,527083081.48,243.0,33.0,,1.0,3.0,,14.0,,4.0,,12.0,,0.74,,,,,,,,,,94515571703.74,49.0,,7.0,,,
航发锦昌重工公司,836654,2022,46479794887.67,710054690.93,7506.0,12795190595.83,59.61,576254039.79,9.67,694842068.77,563.1,580.56,-6.65,4.5,-0.71,,,1182.0,-6.68,0.59,129177750.13,144.0,3444.0,2.0,683.0,732.0,,503.0,,376.0,,250.0,151.0,15.76,,,,,,,,,,27729023204.79,5059.0,,2249.0,2.0,,
北景建锦昌集团公司,836679,2022,5011552964.5,-373163675.5,1135.0,917748045.03,95.32,25764815.4,-52.34,-433386564.93,76.86,77.69,-56.95,2.86,-0.27,,,127.0,-39.6,-11.34,3722026.26,23.0,255.0,,7.0,76.0,,6.0,,1.0,,8.0,2.0,10.7,,,,,,,,,,4779604926.93,701.0,,108.0,,,
花为信泽5G 科技公司,836887,2022,1327303566.04,43200242.82,553.0,768359202.51,27.21,23461042.99,-8.42,46011085.77,-41.88,-38.07,7.37,3.09,0.48,,,105.0,3.02,0.74,4905858.74,29.0,245.0,,37.0,44.0,,14.0,,11.0,,3.0,3.0,18.38,,,,,,,,,,362029259.33,322.0,,112.0,,,
柳业盛盛智能装备公司,836897,2022,3371350192.41,526299297.36,504.0,1070559625.11,6.8,117806541.45,21.87,595610319.52,17.84,19.98,25.24,11.0,0.26,,,194.0,49.67,30.1,9910842.39,208.0,293.0,1.0,20.0,11.0,,63.0,,25.0,,45.0,3.0,39.42,,,,,,,,,,232409353.27,263.0,,116.0,1.0,,
金制恒盛证券公司,836942,2022,173292619294.98,3464909192.04,1207.0,14171374936.99,77.43,7126227.25,6.47,4325639576.62,6.13,4.03,41.14,0.08,0.09,,,85.0,2.45,9.49,179029279.9,316.0,10.0,,2.0,3.0,,2.0,,2.0,,,,7.01,,,,,,,,,,134149935375.8,35.0,,10.0,,,
浪集软数信息技术公司,837154,2022,1378779385.84,-75242995.3,4484.0,1440593494.88,54.12,107005182.19,-36.7,-71447348.32,-156.61,-151.1,40.72,7.47,4.01,,,405.0,22.11,12.0,4504422.64,44.0,3.0,,1.0,2.0,,3.0,,3.0,,1.0,1.0,9.1,,,,,,,,,,746301569.69,1.0,,3.0,,,
环星盛雅鞋业公司,837185,2022,7451571215.5,328933045.5,37061.0,6762391834.76,59.12,202346777.26,-2.34,676146119.76,7.35,-23.87,-3.64,2.97,-0.08,,,,,-18.49,18461143.76,32.0,,,,,,,,,,,,,,,,,,,,,,4407130005.0,,,,,,
招业华置房地产开发公司,837432,2022,3953582271.86,236215964.8,7140.0,1911190116.2,47.65,,-23.0,313613304.68,-40.26,-40.91,,,,,,,,-15.17,5609021.19,6.58,1.0,,,,,,,,,,,,,,,,,,,,,1882900675.0,,,,,,
丽邦昌尚鞋业公司,837808,2022,2709102495.7,159338116.43,6765.0,2455184266.1,20.15,56372277.19,-10.12,238002332.57,-45.43,-49.55,54.7,2.3,0.9,,,339.0,65.51,7.75,14912732.8,36.0,195.0,,15.0,7.0,,28.0,,1.0,,28.0,,4.93,,,,,,,,,,547030492.71,341.0,,25.0,,,
云矿矿达煤炭公司,838102,2022,1421561347.0,-670881581.0,142.0,102846978.0,695.67,,-67.58,18146547.0,-17.82,-279.73,,,,,,,,-5.7,,2.2,49.0,,18.0,18.0,,,,,,,,,,,,,,,,,,9931872931.0,187.0,,23.0,,,
镍建达航设备公司,838151,2022,1190312156.27,-245136940.7,486.0,203940977.51,52.1,19150596.74,-3.21,-199695463.72,-19.07,-33.32,-19.37,9.36,-1.87,,,136.0,-1.43,-7.19,3302802.69,15.0,207.0,,41.0,13.0,,2.0,,,,3.0,,28.46,,,,,,,,,,620411048.08,796.0,,58.0,,,
江怀骏盛新能源汽车公司,838233,2022,7046475299.14,122156429.46,3359.0,4225011242.35,40.54,270105044.59,2.43,124901125.0,-22.6,-12.7,6.65,6.38,0.21,,,497.0,0.2,0.6,21361504.68,53.0,1267.0,,116.0,153.0,,70.0,,26.0,,66.0,9.0,14.7,,,,,,,,,,2857446232.34,1956.0,,368.0,,,
高途文昌在线教育公司,838519,2022,31751427696.2,-886993629.4,11726.0,6853682144.6,19.17,,-75.8,-609770330.0,84.67,88.1,,,,,,,,-27.7,152448533.4,277.0,550.0,6.0,306.0,50.0,,78.0,,75.0,,136.0,101.0,,,,,,,,,,,6071842820.8,836.0,,443.0,6.0,1.0,
杰杰航创机械公司,838892,2022,2155048297.0,-54497716.93,922.0,1263438015.0,77.01,52384425.9,14.17,-74532499.65,34.04,19.23,-32.02,4.14,-2.87,7230741.22,-54.44,460.0,-5.24,-8.06,22466104.54,40.0,83.0,,,,,9.0,,3.0,,7.0,,50.47,,,,,,,,,,1659922332.83,154.0,,7.0,,,
宝新科联系统公司,839680,2022,584790056.13,-32816223.35,336.0,177466010.76,69.11,19841038.45,-3.7,-31508201.66,-17.91,-20.23,-8.86,11.15,-0.68,,,122.0,-26.9,0.97,2509103.09,46.0,15.0,1.0,,7.0,,5.0,,5.0,,,,37.72,,,,,,,,,,404644875.69,129.0,,12.0,1.0,,
招业华昌房地产开发公司,839742,2022,2990663317.57,248048380.71,100.0,763606465.35,59.24,,18.9,119086447.0,114.21,402.39,,,,,,,,-14.8,,28.0,8.0,,,2.0,,,,,,,,,,,,,,,,,,1771305709.45,12.0,,2.0,,,
众建恒昌土木工程公司,839821,2022,2202590474.42,-150617153.9,472.0,896707354.85,45.11,67099439.25,-34.9,-179557904.55,-246.09,-233.18,43.73,7.47,4.03,,,58.0,-4.9,-0.63,2208493.0,21.0,576.0,3.0,38.0,51.0,,81.0,,38.0,,60.0,8.0,12.18,,,,,,,,,,995004365.58,682.0,,290.0,3.0,,
森艺竹森竹制品公司,839867,2022,1407465314.02,-15418462.88,1386.0,955251474.9,37.6,30068275.42,-2.1,-27221730.72,-137.75,-122.94,-5.29,3.16,-0.1,,,89.0,2.3,1.4,12647962.9,16.0,929.0,,46.0,10.0,,94.0,,,,85.0,5.0,6.43,,,,,,,,,,529246138.27,626.0,,83.0,,,
峰环绿昌环境科技公司,840051,2022,31856534772.41,-910006226.2,1704.0,2789655878.01,78.0,93057653.95,4.79,-1003113521.68,-146.35,-152.2,-25.33,3.36,-1.32,,,212.0,-27.0,-18.38,18532825.68,69.0,626.0,,109.0,108.0,,19.0,,8.0,,39.0,9.0,12.86,,,,,,,,,,24847966205.38,2026.0,,253.0,,,
华鲁盛盛精细化工公司,840366,2022,5862654351.0,-40069885.6,1834.0,3611333790.6,13.64,126873766.0,-38.13,-905135812.6,44.21,83.4,-10.75,3.57,1.01,,,199.0,,-47.41,,41.0,64.0,,,,,15.0,,,,8.0,,10.75,,,,,,,,,,800131284.0,,,,,,
华仁生生生物医药公司,840455,2022,3424803058.84,123895637.17,442.0,866726155.14,6.86,127585499.39,7.0,140706431.71,-26.84,-26.06,-22.63,14.78,-5.62,40807566.7,-34.86,78.0,-18.73,-5.0,15350722.54,53.0,47.0,7.0,21.0,21.0,,6.0,,6.0,,1.0,1.0,17.34,,,,,,,,,,234679844.71,213.0,,47.0,7.0,,
果融昌锦资产管理公司,840475,2022,360642972.0,-52801887.0,26.0,62408126.0,18.13,,-4.96,-48867925.0,-436.76,-455.14,,,,,,,,-13.31,,0.71,,,,,,,,,,,,,,,,,,,,,,65558377.0,,,,,,
众铁建筑建筑工程公司,840653,2022,21851195682.77,319686963.67,4320.0,9717239702.08,49.23,622375356.2,12.45,449800077.57,59.14,22.6,24.76,6.4,0.63,,,2853.0,22.73,-2.88,6524105.7,146.0,1068.0,1.0,117.0,57.0,,126.0,,32.0,,129.0,13.0,66.03,,,,,,,,,,10753657911.9,1740.0,,356.0,1.0,13.0,
瞬丰捷锦运输公司,840826,2022,5122271793.2,204864388.18,1533.0,1306964662.8,24.29,,-6.7,265747009.27,-25.04,-7.91,,,,,,,,-2.73,221968557.24,33.0,,,,,,,,,,,,,,,,,,,,,,1243735648.16,,,,,,
锦纸永丰造纸公司,840933,2022,107080859659.0,3310508987.0,20056.0,64538128754.0,55.61,,4.85,3587118443.0,-58.0,-53.88,,,,,,,,2.64,,206.0,,,,,,,,,,,,,,,,,,,,,,59575427432.0,,,,,,
平告盛泽电器设备公司,841199,2022,19065070460.14,579253156.08,8209.0,21679618586.15,76.73,664996981.27,3.82,616779263.22,-12.52,3.34,25.3,3.03,0.56,,,373.0,-0.22,0.53,47908134.04,124.0,1642.0,,193.0,244.0,,153.0,,125.0,,75.0,29.0,4.61,,,,,,,,,,14630722061.02,3450.0,,746.0,,11.0,
金制瑞昌财富管理公司,841415,2022,124513780638.0,1532885878.0,1922.0,8524646673.0,84.87,,4.22,2056194338.0,6.42,8.5,,,,,,,,6.53,202867248.0,69.0,,,,,,,,,,,,,,,,,,,,,,105687035935.0,,,,,,
舜宇表表医疗科技公司,841419,2022,1000003133.63,116051015.33,653.0,547037523.82,23.99,91997169.59,37.71,114922333.36,37.21,42.84,56.77,16.85,2.05,,,232.0,19.8,27.99,12766393.55,65.0,131.0,,52.0,6.0,,34.0,,2.0,,19.0,7.0,35.85,,,,,,,,,,239245927.93,299.0,,88.0,,,
众公盛文在线教育公司,841508,2022,33576066144.0,1936001433.0,13611.0,4756004158.0,50.6,,29.17,1969007924.0,30.34,31.59,,,,,,,,23.79,59000531.0,149.0,,,,,,,,,,,,,,,,,,,,,,16999016194.0,,,,,,
